Amazon Pro,Google Pro
Amazon is one of the most fast paced work environments I've ever witnessed. Combined with the encouragement of innovation and owning your work you can choose to success or fail. If you are successful you are also well rewarded.,Had a lot of fun at this job. Was really cool to be working for google. Would recomend.
"Smart people, customer-centric approach, brand recognition and prestige","Great perks, work environment, free food"
"Always innovating and striving to be better, this is a high functioning company with high demands. It will always push you to improve. Good compensation especially when the stock is appreciating.",Easy to recruiter folks when you have a big brand like Google behind you. My manager was generally available and was great about internal mobility.
good pay an time flies bye fast an it not hard work at all,"There were a lot of perks, everyone raves about the breakfast, lunch and dinner. I guess it really helps with your productivity"
"I work as a software development manager for Amazon at Seattle. What I like most about working at Amazon is the ability to make large scale impact on the way the world buys stuff. And I get to do that of my own accord. Autonomy, independent thinking and ownership are encouraged here better than any other place that I know of. Amazon is a great place for builders and if you enjoy building things (robots at home, softw??Show More",Good work life balance.
Lot of challenging problems to deal with. Mature infrastructure lets you focus on core problems rather than how o build and deploy,Fast Smart Rewarding People Location
Amazon is a great company. They are very good with benefits and stock bonuses.,"Great Food, Perks and Benefits"
Very challenging; expect to learn a lot in a short amount of time. Fast paced. Never a dull moment.,Great place to be great job
The people I love doing at I was doing its a lot of fun,"Free, heathy food offerings, good benefits package"
Great Pay & lots of overtime available. You WILL stay busy.,Google paid very well overall as long as you can pass the interviews.
matching 401k,the company has great perks and snacks
"decent hours, OK pay, opportunity for advancement, state of the art technologythat can be used to make work much more streamlined and convenient","Tales of terrible work-life balance are exaggerated, tales of lavish benefits are not. 9-5 or 10-6 are pretty standard working hours, although some choose to work longer."
Your surrounded by great interesting people and the culture that is fostered and cultivated at Amazon is wonderful.,The best company in the world
Had a great time. My internship was incredible. I worked on tough problems and learned a lot of new technologies over 3 months.,Smart and interesting people. Great culture. Engineers rule. Fun work environment. Pretty open and transparent leadership. Clear career paths that strive to be a meritocracy. Yummy free food and snacks. I enjoyed my time there.
Always something new to learn.,"Google has amazing benefits and perks, a lively social atmosphere, and some of the most talented and bright sales people you'll meet"
"Lots of responsibility early on, really smart people, dynamic business setting-constantly learning and evolving as a leader.",Good people. great work environment.
"Benefits (Medical, Dental, Vision, 401K, Stock), PTO (Paid time off), VTO/VTO(Vacation Time off & Voluntary Time off) UPT (Unpaid time off). When working here pregnant, it's a breeze until it's time leave 4 weeks before your delivery date. You get paid to sit down and chill (if your an advent reader, it's a good time to use work as your own personal library) Only good for if your desperate in getting a job.",We made the best tacos
"Great place, always work to be done. Good co-workers. Benefits are good compared to other places, and pay I assume is better than the surrounding businesses in the area.",Great people to work with.
Amazon is a fast paced work environment with catchy company cheers and an opportunity for you to be the yell leader you can't help but get fired up about being part of the winning team...,work life balance. good working environment
Benefits and incentives are amazing at Amazon.,"Working in a company that makes amazing products, having access to amazing people, and being able to affect technology that will have an impact."
I really liked it it was a easy working environment,"work-life balance, perks/benefits, impactful work, job security"
The pay there is good and they give good hours,Easy to recruiter folks when you have a big brand like Google behind you. My manager was generally available and was great about internal mobility.
Best benefits I have had working for any company. Amazon will not let you work more then 60 hr in a week they believe in a healthy home life.,nothing
"its asteady work, fun environment",Passionate people
"very nice people, paid weekly.","Wonderful mission from the founders and leaders, which truly trickle down to every aspect of the company. Employees feel connected and included in the amazing contributions made from the entire Google workforce. You can tell that the founders truly do have idealistic notions that permeate the culture and create an atmosphere that is difficult to find and authentically recreate."
"Amazon is stoked with bright people, a reasonably fast pace, ever growing and expanding business, and a vibrant startup culture. Over the years, a lot of rough edges have been smoothed, and if you're on the right team (there are many great teams), it is a great career experience. The fact that Amazon obsesses over customers tends to filter out the ego maniac managers and rude people (if they can get hired by Amazon o??Show More",- Velocity
"Love the summer over there, and the working environment","Free food, great campus, great space, great people, unlimited resources, always something to do"
"Health Benefits are great, You cant find better.","Google has great coworkers, top-notch hardware and software infrastructure, excellent total compensation, lots of autonomy for workers, and excellent managers."
"Great benefits, some nice people, good opportunities to move up","cool, smart people, pretty laid back, lots of the perks of being a google employee (e.g. games, lots of free food, etc)"
There are very skilled people who work at amazon.,"Loved the people when I started, loved the perks, loved the flexibility and trust in employees. Awesome opportunities for side projects"
"You get to work on very cool things, with a lot of responsibility and ownership, in a fast paced and exciting environment. You are in the center of all things happening in technology today.",Good work-life balance. You can easily stay at T5 while working 40 hours a week.
Best reason to work for amazon is definitely the benefits and insurance that they provide. It is amazing that I don't have to worry so horribly over dr bills anymore!!!,"Great Benefits, Good Perks, Smart Co-workers"
"I'm not going to lie, this is a very hard job, but that's what I love about it. I get to go super deep technically, I've worked with folks to invent cutting edge algorithms, we've routinely delivered against wildly audacious goals, and my team is brilliant. I can't imagine learning or growing more rapidly than I have here. I get to wear a lot of hats in this role: people manager, technical leader, business strategist??Show More","Great company to work for, fun times and challenging problems every day of the week. great food also."
"large complex systems, enterprise java, good salaries, flexible work hours",very engaging and creative work
"Room to move up, 3 day weekend.",Its a great environment and i love it
The no hassle benefits are great. They have plenty of shifts for everyone's preferences. It's fast paced and has a very friendly atmosphere.,"Great culture, perks, brilliant peers."
They often hire from within and there seem to be a lot of opportunities to move up. They also have fantastic benefits,"Amazing food, perks, people, etc"
"Great benefits, good coworkers, awesome company.","Perks, culture, coworkers are all spectacular"
Laid back west coast culture,really great opportunity to network and meet new people.
Plenty of room for advancement at Amazon. They do like to promote from within.,smart co-workers and they are nice ppl
"you get paid well, meet well people, and get to work as hard as you please ( for all the workaholics).","Culture, people, opportunities, benefits. A lot of the people think Google is all about lava lamps, free food, big pay checks. If Google removes all of it, Google will still be Google"
Good pay master,great great pay and benefits
It was okay. Easy work,Great work conditions and good atmosphere also really nice benefits. Also the work space is really nice and love the free food
"Good pay, Benefits, and hours.",Smart people
Creativity encouraged due to lack of standard process.,Excellent first company to join after college. Best launchpad for career.
A good place to learn cloud computing and distributed systems.,Great campus and intern culture
"Decent high velocity place to work, not the most employee friendly company though.","good easy, fun, good management, smart"
"Employees get a lot of autonomy to try new ideas/projects/etc. If you have a good manager and are working within a good group, it can be a great place to work.","free food, massages, co workers and environment"
"Decent, pick own hours. They do provide uniforms as well as badges and hats and you are allowed to keep any tips you have .","Great company, lots of interesting work, great coworkers, upward mobility."
"Great work schedule, great coworkers,",Flex time and once you leave work your day is done.
"It's a great opportunity for learning. You will get right in the thick of things, and will be given opportunity to do well.","awesome people, great perks, best place to launch a career."
You learn a lot of new things and it's a fun place to work.,Free stuff is pretty awesome
"If you find yourself in a tight-knit crew, stay there as long as you can. The biggest ""pros"" will be ones you carve out for yourself over a long period of time.","Visionary leadership, interesting products, great brand, great perks, very focused on employee development/growth"
"Insurance, flexibility for going to college if you've been employed for more than a year. If you can become favored among the management, you will receive the ""good"" jobs in the warehouse.","It's Google. You work with smart people, work on interesting projects, and have fantastic perks. Work life balance was surprisingly good."
"Work with great, smart people, in a world leading environment. You will learn a lot and be challenged a lot, and you have a lot of control of your career. Some reviews state you are expected to work hard, often and smart. It is not a direct expectation, but that behavior correlates well with successful Amazonians- who would probably do that anyway.","Imagine a place that you are working with the 20% people all the time, this is how it is working in Google. You can trust your co-working to get their part done almost 90+% of the time without nagging them."
"Great culture and people to work with. Had a good time, made great friends. Work is good, sometimes demanding but plenty of flexibility to choose your projects.","Great benefits and work-life balance, smart people and interesting products"
it is a great place to work,work with smart people laid back environment learned a lot.
Great people to work with. Great leaders also,"Culture, People, Experience, Mobility, Pace"
"For the most part, you are in control of what you are doing. You don't get micromanaged a lot. At the end of the day you will be able to see if you won or lost based on how you ran the shift and what variables you had to deal with. There is not a lot of bureaucracy or red tape and things move very quickly. The day also goes by very fast. You walk out the door at the end of the day knowing exactly what you accomplishe??Show More",Goog knowledge of electrical feed for telecomunications
"job was seasonal didn't get much opportunity as a permit job,Training as well but the demand was overwhelmed and they talk to you like you're a teenager,Place was clean and safe",loved everything about it. was a fun place to work
Ownership - I've worked at a number companies ranging from startups to companies bigger than Amazon. The level of ownership is unmatched.,"Lots of perks: free food, free gym, on site massages, great opportunities to learn about different areas of the business, excellent coworkers-a pleasure to work with most people at Google."
"Autonomy, Customer Focused, Innovative Culture","Google provides an opportunity to work with super smart, engaged people on exciting, fast-moving projects that have a huge impact. The wonderful benefits don't hurt, either."
Good pay and fun people,Smart people
"Compared with many of my previous jobs which offered little to know benefits, Amazon offers a great and varied amount. Even within my short time of working with Amazon I am already seeking promotion opportunities.","Strong culture, lots of really smart people from whom you can learn a lot. Great resources, every aspect of company is innovative and doesn't settle for OK. Fun environment."
Has a good track record with inventory and shipping abilitys.,1. Good procedure
paid the same as an area manager,"Work with really smart, driven people. Product development and managers were top notch. I was able to move around to different teams and global offices every few years -- awesome!"
Great opportunities to work on far-reaching and impactful projects. Definitely worth working there. Lots to learn. Could be worth the challenge to your work/life balance.,free snacks
"At Amazon, you have the opportunity to work on problems that impact real customers in really big ways! We're at the forefront of multiple industries (devices, cloud computing, ecommerce, and drones to name a few). Every day, you'll be provided opportunities to make decisions that drive forward what customers care about. You'll also be surrounded by the smartest (and often funnest) people of your career. In 10+ years???Show More","The work is interesting, and not tedious or boring. The expectations are not unreasonable. There is room to grow, ands expand ones skill set using the 20% time. Coworkers are amazing and one learns a lot. Perks are pretty awesome"
Pay is very good with the shares and benefits.,"very fun place to work, lots of smart people"
"Pay, Benefits, Casual Work Space","it's generous to engineers, and more"
They offer good pay and benefits,"Good money, good people, good food. Everyone I've worked with at Google has been a pleasure to work with."
"Everything about the company is great, yes some people disagree with me but a job is a job you must be willing to work hard to make money. A lot of people complain about the long hours, well you knew that when you signed up. I personally didn't see any issue with the company. Pay was great, along with the benefits.",You can take it easy.
"decent pay, but not much else to say. amazon can offer benefits, but they tend to contract a third party to avoid that for warehouse workers.",good food and coffee free
"solid amount of hours, can make good money, flexible for students/anyone in school",Great to stay in google with open atmosphere
Pay is great if you overlook the complete lack of work/life balance; opportunity for advancement within the company - good luck promoting out of this building. Sr management will go behind your back to stop you from moving to another building,"Bright and engaging people, amazing financial and non-financial benefits, healthy work life balance. Easily the biggest advantage of working at Google is the people; extremely intelligent, team oriented, and genuine."
Great program with lots of visibility and cool projects,Great benefits and international career opps.
"It is comfortable, easy to catch on and very friendly. They know that there is life outside of work and that things happen out of our hands, that may cause us to miss or be late even leave earlier. Great benifits and we're catching on to new ways of making all employes to feel comfortable and rewarded for there hard work.","The basics, free food, good benefits (but now most tech companies have the same benefits), a lot of good people."
"Fast Paced, Friendly Management and a Nice Facility with top of the line break and computer room.","Smart coworkers, open culture, many challenging problems, good compensation, many good benefits if you take advantage of them"
"Rapid growth potential, Hands-on leadership experience, clear culture and corporate values",Great work environment and very much engineering focused
"Benefits, internal transfers, long term growth.","Lots of autonomy, fun place to work, talented co-workers"
"They do have great benefits, health,vision,dental 401 k and stock options, love my schedule.",I'm a loyal worker.
"Competitive salaries; friendly people, good benefits, great space","culture, people, benefits - 3 factors that contribute to the low attrition rate because employees enjoy the idea of coming to work and look forward to taking up new challenges"
Good training place for an engineer,You can achieve great balance between life and work.
Working with many different people and products. You get the opportunity to voice your opinions on subjects that matter to you and someone will actually follow up with you. Different shift patterns and different days so it makes it somewhat flexible.,"Security. Google is a safe bet. Innovation is paced though, as with any developed company. All my time was spent in Google for Work org, which was very different from greater Google and had poor leadership. Was inconsequential enough that greater Google hadn't yet taken notice, but I predict a big shake up soon."
Benefits (1st day of employment),Amazing benefits
Amazing work culture and great career path,"Dynamic, fast-moving company"
"We had personal time, we sometimes received cola cash where we can buy stuff from the store inside of amazon.",It is a fun and exciting place for anybody to work with all the new and exciting things that they envint.
Great pay and learn a lot.,"good work envir, loveit, free food, flexible work hours"
"A lot to learn for a college graduate, including but not limited to: coding, design, operation, continuous deployment, all kinds of best practices.",So much fun. Great people
all positive nothing bad to say,"The perks are awesome, specifically the gourmet food served for breakfast/lunch/dinner 5 days a week. The luxury shuttles are the most comfortable way to make the commute from SF and the 401K/health/dental plans are top notch. Super smart people and lots of projects going on that are changing the world."
Smart people and challenging projects,"good experience, good people, good atmosphere, loved my co-workers, can be fun"
The work-from-home program allows so much flexibility! Great management and support teams to help you every time your working.,Great benefits. The best team I've ever worked with. Lots of team building opportunities.
"It is a some what tight nit community, and they also seem to really care about you. They also care about making sure everyone is safe and comfortable. There was no tolerance for messing around with the machines.",- Free Food!
"Intelligent coworkers, good company location, and good salaries.",It's fun you can do whatever you want. I work on !y own schedule so I have a lot of free time
"Much to learn, much to learn, much to learn. Colleagues and managers are very nice.",Smart engineers and brilliant computer science. Great facility. A rich assortment of on-campus perks. The meals. The visiting speakers. And the daily bus service helps tremendously.
good pay,"Good technology, great people and huge profit from ads"
"They offer some good benefits and the pay is decent starting out,depending on your area. They provide paid maternity leave as well as continuing education benefits.","They really care about your personal career path as well as your quality of life, so I got a really kind impression while I was an intern there. I also loved playing volleyball, and the Mountain View campus had great access to sand volleyball courts!"
You get to learn a lot in Amazon.,"co-operation, High salary, new technologies ... etc"
Take Warehouse associate ideas,"Mentorship is baked into the internship program. My host was great, and we had weekly meetings to review feedback for each other."
it was a good multinational working environment,Its a good job with good school medical and dental benefits
Intellectually challenging and smart people to work with,I felt like the company was truly invested in me (and my professional development) and that the people around me genuinely appreciated my contributions.
I was able to move up within 7 months and get into human resources. Getting into human resources has helped me get a better look at what a true career is.,"Cares about employees, self-starter culture"
"I'm a recruiter for the eCommerce Platform group, and love it here. As a tech recruiter, I'm hiring software engineers and managers, PMs, support engineers and data engineers.","The products are world-class, the company culture is amazing, and the people are some of the smartest people you'll know."
good compensation and smart people,"Best density of talent at any large company, their office productivity suite (e.g. gmail) is definitely the best, food is quite good, especially the coffee barista"
it is a good company and comfortable,They do so much for the world. Amazing projects and initiatives taking place at the company.
"Great people, great management, great benefits! Many opportunities for advancement.","It is great to work with smart coworkers. It saves a lot of time in making things clear. Most of the time communication is efficient, expect when there is conflicts among senior leaders."
"Great benefits! Healthcare,dental,vision, 401k,monthly peformance/attendance bonuses,. Opportunities for advancement and overtime! Lots of extra perks!",benefits (plus four more words)
Great communication with co-workers and supervisors,- talented Colleagues
"Work is easy, Meeting new people","- The people you work with! No matter what team you work on, you're going to work with lovely, interesting, and overall brilliant colleagues. The work itself and your clients are interesting and constantly changing. There is also the added benefit of plen"
"Very good pay. There was a lot of physical labor and strict working conditions, but well worth the time.","great perks, great place to be"
The hours and the pay has been worth it.,Challenging status quo and building software for a better tomorrow.
Great Pay,"Great perks, smart people, good pay"
"Good location, work atmosphere, nice colleagues and team! I learned a lot here. Good work and life balance.",Justification to purchase tools for the work is quick and easy
"Great company, awesome product and culture!","good atmosphere, team environment, hard work"
"Great benefits and pay, however you are paid on a monthly basis if you can manage that schedule.","- nobody tells You what to do, You find your own problems and solve them"
I get to choose what hours and days I want to work. Pay is very high for an entry level job and everyone gets along.,Google set the bar for what all companies should strive for regarding culture and benefits. But the true secret to Google's success is a management philosophy of hiring the best people and trusting them to do their own work without top down hierarchical direction.
"good pay, works with my school schedule, lots of opportunities to grow within the company","Very smart people and flexibility to choose your projects, to choose your research areas. Overall I think my coworkers are extremely well qualified for their job."
I like this job because I'm scheduled to work overnight. I've been in the cs field for a long time and this is cs too but you don't have to talk to anyone. I work on the receiving line so I just scan boxes all night.,The salary is high; I couldn't make this much anywhere else.
"Awesome hours and had to cover multiple locations. Nice perks, but could always be better.","Overall Google is a great company with lots of benefits such as free food, gym, paid internet, cell phone, lots of vacation and free transportation."
competitive pay. amazon discount. no micro management,"Google has amazing people working there, and they are eager to help you learn as much as possible. The other benefits are just icing on the cake."
"Competitive compensation, work with smart people, bring dogs to work, drink at work (you'll need it)",Healthcare plan
Good place to work for young people,Awesome culture and co-workers. Really great work life balance.
"Great Leaderships Principals, Customer obsession","Great perks, talented employees. Flexible hours, interesting projects - easy to move from team to team. Physical health prioritized with facilities on campus."
"High IQ employees, always learning, being at the edge of innovation",Great benefits and company culture.
Unrated tasks,Relaxing work environment.
"I liked my bosses and people I worked with. Hourly pay was decent for not needing any experience. It filled a need for a few months and wasn't a big deal when I quit,","* Google has, bar none, some of the best office schemes I've ever seen. Their conference room layouts make a lot of sense, and the designs and liveliness pouring through those walls were on another level."
Great place to work!,"Entrepreneurial culture, very dynamic projects. The teams are made up of some of people with some of the most diverse backgrounds I have ever seen."
You need to be very self driven. There is very little hand holding here. A lot of respect for innovative thinkers who drive projects.,Treat employees really well
Plenty of perks. Very flexible with scheduling. No one on one interviews.,Great People. Great Culture. Great Benefits.
Good Culture. Used to have lot of parties for interns.,Good pay
"Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome.",Great opportunity for growth.
It has good salary. And the environment is good.,Work/life balance.
Getting to solve technical problems at scales that do not exist elsewhere. Working with some of the smartest people on the planet,Fun great excellent amazing outstan
"nice check, nice PTO . its ok",Everything is great to work for google.
Great place to work and to develop.,"Google speaks for itself. Great resources, best minds in the world. Flat organization with high degree of autonomy"
"The people are intelligent and down to earth, you get a lot of exposure, and are able to make decisions that affect millions of customers",Excellent food and the location is good for many activities.
Focused on results.,Huge level of responsibility and interesting work
"Flexible work hours, wide access to resources, fast moving, intelligent coworkers, casual dress attire, very efficient, not may bureaucratic obstacles",Good communication in management
"Technology, company structure, scale. SDE teams are encouraged to operate like startups while leveraging the power of a robust and active internal technology stack","Lots of smart people, challenging work, and flexibility to move around to different teams."
Challenging environment full of smart people,"Amazing management, perks, food, fun, coworkers, atmosphere, it was just a wonderful place to work."
"Nice pay, knowledgeable staff, I had a great manager.",Awesome place to work at.
The money is good and the benefits not bad.,"Good compensation and benefits. Depending on the team, work can be interesting. Usually everybody on the team is smart."
"Excellent pay, and health benefits. Depending on your organization, the work culture could be stress free. Peers are technically excellent and the hiring committee makes sure of that.",Food is very very good
Working with smart people who were always working to improve things. I also enjoyed being part of a winning team.,Amazing perks and benefits
"As a Tier 3 in a fulfillment center, it's been a rewarding experience. You have a lot of tools to help you succeed, if you know how to look for it. There are mentor programs, 'leadership' classes, the career choice program, etc. I've always been fortunate in my management!",One of the best companies you could ever hope to work for
"Lots of opportunities to learn and move around. Some really awesome people, the downside of which is, they don't stay at Amazon.","Super smart people, lots of free stuff. Amazing to work at Google, just to realize it's not all that."
I love working for a company customers love. Every time someone learns I work for Amazon I hear a story about why they love Prime or their Kindle. Many people also have great stories about customer service going above and beyond. This is vastly different from other companies I've worked at where the first priority was profit and cool tech regardless of what customers wanted.,flexible works hours are the best
It's impressive how much responsibility and opportunity you're given compared to comparable career levels at other companies. That are lots of big projects. I've had the opportunity to launch new devices and entirely new online retail shopping experiences internationally. The energy rivals any start-up I've been in during my career - but we never have to worry about making payroll!,"Great co-workers, managers and projects."
"* a place where builders build. I've designed and built some enormous systems, doing difficult tasks.",Huge infrastructure for employee benefits. Low risk. Work with smart people. Free food is convenient and healthy. Buses make the commute more tolerable. People usually given a high degree of independence and trust.
"Innovation, continued focus on positively impacting customers, autonomy (and accountability) to make critical decisions, work with and learn from incredibly smart people.",- high impact projects/teams
fun work most of the time,"Great benefits, and get to work with some brilliant folk."
"Most managers are nice and helpful,",Free food free naps free massages cool and brilliant coworkers. Cool projects. Amazing campus. Shuttle buses. Interesting opportunities for career advancement
"Good medical benefits, VCP (a form of profit sharing), stock in the company (restricted until you have 2 years as an amazon employee), and various raffles and gift card giveaways for tier 1 employees, vacation time, personal time (paid and unpaid) that is accrued over time",Smart people: Hiring bar is very high.
"Motivating, intelligent, team, ahead, the best",Awesome people awesome culture awesome place to work free food
"Have several family members working here. Good base pay, starting hours are good. A half hour lunch. Really good coworkers. Nice management.","Amazing culture, smart people, great career opportunities, free food, benefits"
Great company to continue your education,"Challenging work, smart co-workers, less politics more work."
Flexible Hours - I can start my day when ever I want.,Working with intelligent and innovative people.
"Challenging work environment, huge opportunity for growth, competitive pay, and great benefits. If you like seeing results and being recognized as the worldwide leader in operations, supply chain mgmt, and working for a Fortune 50 company like Amazon, then this is the perfect opportunity for you.","Fun, caring, and overall great environment."
great pay at starting at 13.25 an hour. very flexible hours,"I got to work with a fabulous team with excellent dynamics, doing interesting work. The support for interns was definitely there, the perks were out of this world, and almost anyone was open for reaching out and grabbing a cup of coffee with."
"Big company, famous company, can learn lots of things to improve myself",the pros are that it's google
The opportunity for advancement is abundant here at Amazon,"Culture, Benefits, workplace, research job"
"When you venture into a job with Amazon, you are likely not going to be prepared for what you experience. Amazon is a place where you will have very challenging work for a very good cause, customer experience. I have a career of working in the customer service business and I've learned more and achieved more in my time with Amazon than with any other organization.","Great colleagues, competitive pay, industry leading benefits, nimble for a large company. The company is pursuing very lofty goals and really leading the industry on a number of fronts. After 8 years, Google is still a great place to work and I can't imagine working for any other company. The only thing that could pull me away would be to start my own venture."
Amazon provides a dynamic and agile work environment in a growing industry. Opportunities abound to move around within the company.,Amazing perks and benefits
This is a company that is great to work for. They are constantly challenging you to perform and finding different ways to stay motivated. They treat every day as a new challenge.,"Great food, perks, lifestyle. Really smart people to learn from. Lots of cool projects to contribute to."
"Worked here for 9+ years. In my past 9 years, I worked on various large scale systems like building a cloud based call center solution, warehouse automation and optimization and even solving travelling salesman problem at logistics. If you are really into computer science and building system that scales, Amazon has a lot of opportunities","Colleagues are smart, motivated, and nice. They keep me coming back. Vacation policy is pretty generous for US."
Very easy work to do,Wow I couldn't believe how amazing it was to work at Google. Amazing.
"Amazon provides divers unique opportunities for personal and career growth, networking capabilities, travel, and learning & development.","Good food, good people, good position and good techniques."
"Working in a climate controlled environment, casual dress code. Large break room with TVs and vending machines. Lots of open communication between management and regular employees daily","Free food, adventure, proximity to ""Google"""
The pros at Amazon are that you will never find yourself bored and wondering what you could be doing. The work is always plentiful and provides challenges to work through.,"Great work-life balance. Very friendly and cooperative colleagues, partly due to the way we hand out promotions. Internally rather transparent and management seems to listen to what we want."
"I really enjoyed working at due to the fact that I enjoy working more then 8 hours, I liked my job and the employees, there are two shifts: morning and evening, so you can pick according to your flexibility!",Many smart people and nice people. People are very understanding and helpful. Lots of opportunity to learn if you actually make the effort to do so.
Awesome place that is doing some incredible things. I love working here. Work hard have fun and make history is really what they ask of you.,Everything is very very good
"Everyone is working on things that matter to customers. Amazon thinks about the long term; when things go wrong or are unsuccessful, we mine the experience for lessons to be learned and move forward. Amazon recognizes that failure is inevitable; it rewards individuals that learn quickly and iterate from failure.",This is one of the most inspiring companies I've been involved with - they have a mission to change the way children are educated and a clear vision for how to help
"Great team, great pay, great hours (always 40 or less), and nice to be around so many smart people.",Great experience! learned a lot with a lot of activities!
Very results driven culture where you see see your impact,"Intellectual environment, fast paced and ambitious."
"cohesiveness of the teams, good managers and strong work ethics of all Facilities Techs",Brilliant people to work with and fantastic culture
The work hours is very cool,"People, perks, energy, and environment."
"From my experience at other large tech companies, I'd say that Amazon stands out as being challenging. At other tech companies, you may have more vacation days. At other tech companies, you may have more perks. What you are unlikely to have at another tech company is a role which allows you to stretch yourself to the limits.","-99% of the people you work with are brilliant, but are also not jerks"
they truly care about their employees.,"culture, products, impact, people, fun"
"Work from home, benefits, PTO, Sick Time.",Brilliant people organizing information. Doesn't get much better.
"Amazon offers an opportunity to excel in an ever-changing, fast paced environment. Benefits including full medical, dental, vision as well as tuition assistance (95% paid upfront). My experience at Amazon has been noting short of fantastic. I have been able to excel and advance in one of the most competitive environments I have ever known.",Good food and amazing ppl to work with
Exciting place to work,Lot's of interesting projects to tackle.
Rewarding work environment that pushes you to learn and grow quickly.,it was a really rich and positive experience
"Time off is abundant. 48 hours Paid time, 8 days Unpaid time, Vac 1st yr - 1 week, 2nd yr - 2wks",Incredibly diverse company with great people tries to take over the world of information!
I worked at the Local fulfillment center in Tampa as a seasonal hire. You'll be working 5x11 shifts so be prepared for that. Use your sick days wisely. It must be said that all of the managers i met were very nice and understanding.,"good experience, good people, good atmosphere, loved my co-workers, can be fun"
"Great company, good technology exposure, good ownership model and usually the teammates are smart and nice and projects are impactful.","Coding workflow and tools are streamlined and integrated, allowing you to focus on codin, solving problems, and working with team members."
fast growing company with a lot of potential,1) Open atmosphere and friendly coworkers
"I've been with Amazon for over 8 years, working as an Sr. Software Development Engineer currently on-track to a likely Principal Engineer promotion within a few years.",I think it is fun and easy
"Great benefits, competitive pay, manage your own time off, earn rewards, overtime, clean bathrooms and cafeterias, college reimbursement, security, employee stock options, 4 day work shifts","Amazing team mates, great perks. Very fair in all processes"
"I love the intensity, dedication, and energy we all had to put in to make sure every family got what they needed. It has been the most rewarding job I have ever had. It made me feel good when we got done with shipping out all of our orders and breaking records.","great compensation, great perks, brilliant coworkers. The food there is amazing, great leisure time and freedom to pursue my own interests."
The Amazon environment is ever changing and you'll have a lot of opportunity to own many aspects of the business.,"Great perks, strong team in NYC"
Good rotation program after mba school. Some group may be demanding but you have lots to learn and improve.,"money, money, money, money, money. and the free food. free trainings. money. I would have quit a long time ago were it not for the money."
"They hire smart, and they pay for hard work",Amazing people to work with and learn from.
"opportunity ,insight, data, training, guidance","Culture has a noticeable focus on being nice to one another, get to work on exciting things"
A is a Quick company; I could learn a lot; there are quite a lot charming products.,clean environment nice work space
Most amazing and innovative company on the planet,You can learn a lot from internal materials if you want to. Great culture.
"Easy to work with schedule, Friendly Managers, Relatively Stress Free Work Load, Offer A Great Deal Of Perks To Employees During Thee Holiday Season.","Well-paid, fun, everyone is friendly, work as much you want and can do, off site visits, it's Google!"
learned a lot and nice work experience,"great benefits, fun environment, job stability, working on amazing projects with smart people that impact the whole world"
Great benefits. Amazing attendance policy and lots of paid time off and vacation time available as soon as you start.,Ability to switch between multiple groups. Never gets boring.
lost 50 lbs in 3 months,challenging but satisfying. Peer review makes you smile at others all the time
"Even though it was work-at-home job, you will have a lot of time interacting with leadership team (meetings, chats, etc,.) It was fun experience.",Amazing work environment to work in
People always have helpful advice for you. You will really learn a lot there.,Great benefits and good pay
"Good work environment, great safety procedures, good pay and benefits","they care about their employees. it's a great place to work. ca might be a better environment, though."
Working as a team being around people having fingering paid every week,"Nice place, cool team members"
Amazing people an great opportunities,Smartest collection of co-workers I've experienced
"Fair place, reasonable hours, chances for professional growth","So much energy, very rewarding. Google is amazingly open and flexible. Work life balance can be what you want it to be on most teams. (Some teams are in more competitive sectors and require more crazy hours all the time - but very few of them)."
Good team members to work with. I love the offices and we are working on great projects that will build up my CV. RSUs are great as well and make up for the bonus.,"The pay is great, the benefits are second to none. Dev hardware is insane, production resources are seemingly unlimited."
Very decent pay for young workers,Great exposure to the world's best technology
"Working for AWS has been the highlight of my career thus far. I've spent more than 4 years at the company - with a short break in the middle. So many learning opportunities in this company and opportunities to make a difference at all levels. Despite being a larger company there is plenty of chance to be impactful whether you're in the field, in engineering, or sales and marketing roles. The rate of change in the bus??Show More","Great environment, smart people, leadership is open and upfront, launch and iterate is real and helpful"
Good place to work and learn alot.,Amazing work environment to work in
"great experience, good opportunities to grow with the company","Benefits, variety of work, high learning curve"
"I worked as both a stow and pick associate at an Amazon Fulfillment center for a combined total of about a year, six months in each position. Here are some generalized pros","Own Google Corporate credit card, top of the line cell phone, tablet combo,$65 a day food allowance, free monthly rental cars, travel to places ordinarily wouldn't be able to travel to, pay"
"Good pay, okay work, nice breakrooms",work with great people there.
Money is the best part,Simply a great company that treats employees very well
"Many growth opportunities, work life balance, many fun activities and other benefits for employees, great career growth.","The people are among the smartest, most driven co-workers. This made it a fantastic experience."
"It really depends on which team/management you are working with, and since Amazon is very big, some employees can have a very different experience than I have.",currently think out of none
"Good pay, great benefits, stock options, 401k",Google has excellent menu choices. The salary is high for a new grade. They have a very nice working environment.
great place to work. good benefits.,This is an excellent growth opportunity company.
4 day work week. Good pay and benefits. Energetic atmosphere. Ability to see and familiarize yourself with many many products,"Free food, nice work environment and nice salary. And lots of opportunity to be exposed to new technology. And everyone is friendly"
Benefits are really good to.,Perks and the culture of the company
