Amazon Pro,Google Pro
Customers live the service. Tips are tremendous. You are paid $18 per hour plus tips.,All of the perks are incredible!
Fast growing environment. Can learn a lot.,"Google spoils its employees. Free breakfast lunch and dinner, great amenities, and budgets never seem to be an issue (at other jobs I've had to beg travel budget -- at Google, I can pretty much take any trip I think is worthwhile). They also do tons to reduce friction as an employee."
Amazon is a challenging and opportunistic company. I have been given the freedom to propose new ideas and implement network wide changes. Amazon has helped develop me through working in different FC's and departments in my career.,Whatever you can think of! I feel like a king when I'm at work. I absolutely love my job!!!!
Ownership and their leadership principles,Whatever you can think of! I feel like a king when I'm at work. I absolutely love my job!!!!
"Good benefits, friendly coworkers, nice paycheck, feels good to have 3 consecutive days off, you are given plenty of time to use, and they do have activities for associates during the summer, and holidays.",Because I will create helpful tools to use
You get to work on a ton of stuff and use the latest AWS technologies and learn how one of the biggest software companies in the world manages its software processes,The perks are amazing!
"Good Leadership, plenty of opportunities for advancement",Great place to work love it
Pretty Simple and straight foward. Friendly people.,Amazing people and atmosphere. Crazy good benefits.
It was a pleasant work environment.,lots of new projects and good team to work with..
Competitive salary. Innovative company to work for.,"great company, had an amazing time and learned a lot. look forward to going back. super fun people and had a very good time. love google. love it so much"
I worked 40 hours a week until peek hit. Then my hours were up to 55 a week.,- very smart people
"Managers that listen, plenty of O.T.","Flexible, lots of opportunities, good environment."
"freindly place to work, job requirements are easy to learn, fast paced environment, help from other workers is readily available",great company to work for
"It looks really good on a resume. People always ask about it. Safety walks, gemba. It is great if you are young and with out a family.","The work culture is excellent; being nice to others is rewarded socially, and economically. The projects are incredibly diverse, and challenging. And the compensation and perks are very generous. As the person leading the orientation told me on my first day: ""We want you to be happy. If you're happy you're more productive."" I'm happy indeed :)"
"The pay is good for the area we are located in, able to work night shift to not have to pay for childcare.",you can work on what you want to work on
"Great company has a lot of business units and branches, so you might explore different teams easily.","Great perks, very smart people, great atmosphere, good leadership. Overall, very nice company to work for and a lot to learn from. Good compensation doesn't hurt."
"The compensate well, working 4 and sometimes 5 days a week depending on holidays and others",+ Stable job
Nice coworkers,"Free food, good infrastructure, mostly great people, mission, if you can get into a team that actually has a mission. Good pay, though no longer the best. Engineers still (mostly) run things there. It's easy to switch projects if you perform well and opportunities are actually available (which is not a given, especially in remote offices). It also feels like the company actually gives a damn about making the front li\342\200\246\302\240Show More"
Multiple opportunities for growth,"Perfect Salary, work enviroment"
Working with a high number of clients all over the world increased my ability to be customer orientated and also detail orientated which was one of the most important facts in my job,"good pay, perks"
Extra hours available sometimes. Can wear comfortable clothing. Great people to work with. Pay is good. You get unpaid time off. You get holiday pay and perks during the Thanksgiving and Christmas time of the year.,Work life balance is great. Free food.
If you are starting out in life it is a great job. The benefits are great. I had a son last year and haven't paid for a doctor visit yet.,"Free food, smart people, great pay, exciting work! The bay area has beautiful weather as well which is a bonus"
Awesome place work.,"The perks are legendary here. Contrary to rumors, the food quality is still very good, some of the newer cafes on the main campus get rave reviews. Get to work with lots of very smart people, with mostly good attitudes. Very academic atmosphere where research and analysis of data is the preferred way to guide decisions."
"Putting in overtime, your check look nice.","Lots of opensource , good environment"
"clean environment ,plenty of work if your willing to work overtime.very good benefits ,including tuition for school,bonuses(vcp),paid time off","You'll be surrounded by very smart people, which helps your professional growth; compensation & benefits make you feel valued by the company"
"Decent pay considering there aren't really any prerequisites for the job. Some positions will even pay for a minimum number of hours per week, so you'll still get a decent check on slow weeks.","Great coworkers, detailed docs and a lot of learning materials to help you become a good engineer."
Great learning opportunity for interns,Google is a great company at the forefront of technological advancement. The pay and hours are good and the work culture is laid back.
Autonomy- no one is going to tell you how to do your job. You decide the best way.,"Product and tech leadership are outstanding, no one else is doing what Google is and succeeding."
"Spacious, personal and vaction time give","Great people, lots of perks, awesome benefits, global scope."
Great people to work with. A lot of incentives,Tremendous opportunity to learn and develop a deep understanding of how global scale technologies and companies need to work.
very good work culture at amazon,"Growth potential, benefits, innovation, community contribution, health care,"
They take great care of us.,"I've gone from a new grade hire to the tech lead of a 8 person team in 2 1/2 years, and I've learned a ton along the way. Not every engineer you'll work with is amazing, some are just good, and a few are mediocre. However, so many are amazing that it's an absolute pleasure to work on the same codebase as they do."
Very good company to work for.,Every perk you can imagine!
The insurance benefits were great.,"good working environment, handsome salary,good growth and free lunch. you will learn lot of new things, diverse working environment."
"Will be exposed to new trends. You will meet very intelligent people. Many are friendly based on culture, if you click.","Great benefits, work life balance, growth opportunities. Promoted to lead expansion in new geos within 2 years. Fun outings and team building"
Best company to work at as a fresher,Great place to work and build your career.
Great concept to work for.,"Great environment, lots of opportunities"
"Get to bring your dog to work, very nice people, very smart people","Lots of accomplished and diverse engineers around you, best practices are very refined, mentorship and sense of community between teams and buildings is very strong if you are willing to participate!"
"Works with your school schedule, benefits start immediately, flexible paid time off and decent pay.","Lots of perks - amazing free food, micro kitchens stocked with snacks and any kind of beverage you'd want, baristas, fitness center, subsidized massages and more. They compensation is generous and most of the employees are very fun, nice and smart."
meet a lot of fresh faces.,Perks are too many to mention and with so many smart people to follow around you're going to learn a lot!
Working for Amazon you have so many opportunities to grow and move within the company.,Google has the clout and money necessary to provide all the resources necessary to succeed.
"Great benefits such as medical, vision, and dental insurance. Personal time, vacation time, and unpaid time. 401k and other benefits","Great culture, it's up to you to make your impact, amazing technology, treat us like adults, food's awesome, total comp is really great (current stock price really helps!)"
"I joined Amazon after completing my MBA from a top 5 program. In my opinion, Amazon provides the best possible environment for mid-career development.",* Friendly and smart co worker
Full Time Amazon Associate Great Benefits,"Lots of mobility, opportunities to be creative and take the lead."
Opportunities to work with full-time team members on many of the same tasks. Lots of respect from other employees.,"Great place to work at. Literally has everything you need to work, eat, and play."
Does anyone know the starting salary for an internal employee once they become Area Manager?,"I was experiencing great fulfillment working for such great Company, using my linguistic skills and Italian culture in a multicultural environment."
Great company to work for,Great culture. Company really puts employee first.
Decent pay and benefits for a part-time job.,flexible working hours and the work-life balance
Above average industry salary.,"Great place to work, lots of places to eat and drink"
"They offered a lot of overtime, you can work from home",it was awesome I really liked the culture of Google. I loved coming to work everyday.
Think big. Fascinate technology. Lovely people.,"Great coworkers, lots of opportunities"
"Working as a PM at Amazon gives me the opportunity to dream up the future, and then actually build it. It's like having the best-funded startup ever.","Culture, people, great benefits and perks, competitive compensation"
"Great minds, many opportunities, challenging work.",You'll get to work with a lot of smart folks...
"If you can dream it, share why it adds value to the Company, you can build. It's an amazing place to be part of, literally changing eCommerce daily.","Great people, Great culture and Wonderful opportunities."
The outside a great company.,Constant change
Great place to grow in your career,great perks and great work environment.
"Good salary, good health insurance , working with smart people, work closely with customers",Open culture; fast moving; dynamic; ambitious; lots of perks; strong culture
The benefits and the pay rate is great,"Excellent pay and benefits (by far the best software engineering pay I've seen in the Boston area). Higher bonus and stock than anywhere else, too."
Benefits are really great,"Smart and engaging coworkers, free food/beverages, free transportation, free parking, access to Google events, free massages"
Innovation and new Ideas are abundant. Expanding into new markets at a fast pace. They are one of the top cloud network providers in the industry.,"Good perks, food, general Google lifestyle"
Good Pay and Benefits after being with company for required time.,"Culture of innovation, appreciation for strong performance, high value placed on quality managers."
Great medical,1. The job is challenging and you get to learn.
